流水序,教育部字號,Unicode,常用字
00205,A00205,504c,偌
00206,A00206,505a,做
00207,A00207,5049,偉
00208,A00208,5065,健
00209,A00209,5076,偶
00210,A00210,504e,偎
00211,A00211,5055,偕
00212,A00212,5075,偵
00213,A00213,5074,側
00214,A00214,5077,偷
00215,A00215,504f,偏
00216,A00216,500f,倏
00217,A00217,50a2,傢
00218,A00218,508d,傍
00219,A00219,5085,傅
00220,A00220,5099,備
00221,A00221,5091,傑
00222,A00222,5080,傀
00223,A00223,5096,傖
00224,A00224,5098,傘
00225,A00225,50ad,傭
00226,A00226,50b5,債
00227,A00227,50b2,傲
00228,A00228,50b3,傳
00229,A00229,50c5,僅
00230,A00230,50be,傾
00231,A00231,50ac,催
00232,A00232,50b7,傷
00233,A00233,50bb,傻
00234,A00234,50af,傯
00235,A00235,50e7,僧
00236,A00236,50ee,僮
00237,A00237,50e5,僥
00238,A00238,50d6,僖
00239,A00239,50ed,僭
00240,A00240,50da,僚
00241,A00241,50d5,僕
00242,A00242,50cf,像
00243,A00243,50d1,僑
00244,A00244,50f1,僱
00245,A00245,5104,億
00246,A00246,5100,儀
00247,A00247,50fb,僻
00248,A00248,50f5,僵
00249,A00249,50f9,價
00250,A00250,5102,儂
00251,A00251,5108,儈
00252,A00252,5109,儉
00253,A00253,5112,儒
00254,A00254,5118,儘
00255,A00255,5114,儔
00256,A00256,5110,儐
00257,A00257,512a,優
00258,A00258,511f,償
00259,A00259,5121,儡
00260,A00260,5132,儲
00261,A00261,5137,儷
00262,A00262,513c,儼
00263,A00263,5140,兀
00264,A00264,5143,元
00265,A00265,5141,允
00266,A00266,5145,充
00267,A00267,5144,兄
00268,A00268,5149,光
00269,A00269,5147,兇
00270,A00270,5146,兆
00271,A00271,5148,先
00272,A00272,514c,兌
00273,A00273,514b,克
00274,A00274,5155,兕
00275,A00275,514d,免
00276,A00276,5154,兔
00277,A00277,5152,兒
00278,A00278,5157,兗
00279,A00279,515c,兜
00280,A00280,5162,兢
00281,A00281,5165,入
00282,A00282,5167,內
00283,A00283,5168,全
00284,A00284,5169,兩
00285,A00285,516b,八
00286,A00286,516d,六
00287,A00287,516e,兮
00288,A00288,516c,公
00289,A00289,5171,共
00290,A00290,5175,兵
00291,A00291,5177,具
00292,A00292,5176,其
00293,A00293,5178,典
00294,A00294,517c,兼
00295,A00295,5180,冀
00296,A00296,5189,冉
00297,A00297,518a,冊
00298,A00298,518d,再
00299,A00299,5192,冒
00300,A00300,5191,冑
00301,A00301,5195,冕
00302,A00302,6700,最
00303,A00303,5197,冗
00304,A00304,51a0,冠
00305,A00305,51a4,冤
00306,A00306,51a5,冥
00307,A00307,51a2,冢
00308,A00308,51ac,冬
00309,A00309,51b0,冰
00310,A00310,51b6,冶
00311,A00311,51b7,冷
00312,A00312,51bd,冽
00313,A00313,51cd,凍
00314,A00314,51cc,凌
00315,A00315,51c6,准
00316,A00316,51cb,凋
00317,A00317,51dc,凜
00318,A00318,51dd,凝
00319,A00319,51e0,几
00320,A00320,51f0,凰
00321,A00321,51f1,凱
00322,A00322,51f3,凳
00323,A00323,51f6,凶
00324,A00324,51f9,凹
00325,A00325,51fa,出
00326,A00326,51f8,凸
00327,A00327,51fd,函
00328,A00328,5200,刀
00329,A00329,5201,刁
00330,A00330,5203,刃
00331,A00331,5206,分
00332,A00332,5207,切
00333,A00333,5208,刈
00334,A00334,520a,刊
00335,A00335,5217,列
00336,A00336,5211,刑
00337,A00337,5212,划
00338,A00338,520e,刎
00339,A00339,5225,別
00340,A00340,5224,判
00341,A00341,5229,利
00342,A00342,522a,刪
00343,A00343,5228,刨
00344,A00344,523b,刻
00345,A00345,5238,券
00346,A00346,5237,刷
00347,A00347,523a,刺
00348,A00348,5230,到
00349,A00349,522e,刮
00350,A00350,5236,制
00351,A00351,5241,剁
00352,A00352,524e,剎
00353,A00353,5243,剃
00354,A00354,524a,削
00355,A00355,524d,前
00356,A00356,524c,剌
00357,A00357,524b,剋
00358,A00358,5247,則
00359,A00359,5256,剖
00360,A00360,525c,剜
00361,A00361,5254,剔
00362,A00362,525b,剛
00363,A00363,525d,剝
00364,A00364,526a,剪
00365,A00365,526f,副
00366,A00366,5272,割
00367,A00367,5274,剴
00368,A00368,5275,創
00369,A00369,5269,剩
00370,A00370,527f,剿
00371,A00371,5277,剷
00372,A00372,527d,剽
00373,A00373,5283,劃
00374,A00374,5287,劇
00375,A00375,5288,劈
00376,A00376,5289,劉
00377,A00377,528d,劍
00378,A00378,5291,劑
00379,A00379,529b,力
00380,A00380,52a0,加
00381,A00381,529f,功
00382,A00382,52a3,劣
00383,A00383,52ab,劫
00384,A00384,52a9,助
00385,A00385,52aa,努
00386,A00386,52ac,劬
00387,A00387,52be,劾
00388,A00388,52c7,勇
00389,A00389,52c9,勉
00390,A00390,52c3,勃
00391,A00391,52c1,勁
00392,A00392,52d2,勒
00393,A00393,52d9,務
00394,A00394,52d8,勘
00395,A00395,52d5,動
00396,A00396,52de,勞
00397,A00397,52dd,勝
00398,A00398,52db,勛
00399,A00399,52df,募
00400,A00400,52e6,勦
00401,A00401,52e4,勤
00402,A00402,52e2,勢
00403,A00403,52f5,勵
00404,A00404,52f8,勸
00405,A00405,52fb,勻
00406,A00406,52fe,勾
00407,A00407,52ff,勿
00408,A00408,5305,包
00409,A00409,5306,匆
00410,A00410,5308,匈
00411,A00411,530d,匍
00412,A00412,5310,匐
00413,A00413,530f,匏
00414,A00414,5315,匕
00415,A00415,5316,化
00416,A00416,5317,北
00417,A00417,5319,匙
00418,A00418,531d,匝
00419,A00419,5321,匡
00420,A00420,5320,匠
00421,A00421,5323,匣
00422,A00422,532a,匪
00423,A00423,532f,匯
00424,A00424,5331,匱
00425,A00425,5339,匹
00426,A00426,533f,匿
00427,A00427,5340,區
00428,A00428,533e,匾
00429,A00429,5341,十
00430,A00430,5343,千
00431,A00431,5348,午
00432,A00432,5347,升
00433,A00433,5345,卅
00434,A00434,4edf,仟
00435,A00435,534a,半
00436,A00436,5349,卉
00437,A00437,5352,卒
00438,A00438,5354,協
00439,A00439,5353,卓
00440,A00440,5351,卑
00441,A00441,5357,南
00442,A00442,535a,博
00443,A00443,535c,卜
00444,A00444,535e,卞
00445,A00445,5361,卡
00446,A00446,5360,占
00447,A00447,5366,卦
00448,A00448,536f,卯
00449,A00449,536e,卮
00450,A00450,5370,印
00451,A00451,5371,危
00452,A00452,5373,即
00453,A00453,5375,卵
00454,A00454,5377,卷
00455,A00455,5378,卸
00456,A00456,5379,卹
00457,A00457,537b,卻
00458,A00458,537f,卿
00459,A00459,5384,厄
00460,A00460,539a,厚
00461,A00461,539f,原
00462,A00462,539d,厝
00463,A00463,53a5,厥
00464,A00464,53ad,厭
00465,A00465,53b2,厲
00466,A00466,53bb,去
00467,A00467,53c3,參
00468,A00468,53c8,又
00469,A00469,53c9,叉
00470,A00470,53cb,友
00471,A00471,53ca,及
00472,A00472,53cd,反
00473,A00473,53d6,取
00474,A00474,53d4,叔
00475,A00475,53d7,受
00476,A00476,53db,叛
00477,A00477,53df,叟
00478,A00478,66fc,曼
00479,A00479,53e2,叢
00480,A00480,53e3,口
00481,A00481,53ef,可
00482,A00482,53e4,古
00483,A00483,53f3,右
00484,A00484,53ec,召
00485,A00485,53ee,叮
00486,A00486,53e9,叩
00487,A00487,53e8,叨
00488,A00488,53fc,叼
00489,A00489,53f8,司
00490,A00490,53f5,叵
00491,A00491,53eb,叫
00492,A00492,53e6,另
00493,A00493,53ea,只
00494,A00494,53f2,史
00495,A00495,53f1,叱
00496,A00496,53f0,台
00497,A00497,53e5,句
00498,A00498,53ed,叭
00499,A00499,5409,吉
00500,A00500,540f,吏
00501,A00501,540c,同
00502,A00502,540a,吊
00503,A00503,5410,吐
00504,A00504,5401,吁
00505,A00505,540b,吋
00506,A00506,5404,各
00507,A00507,5411,向
00508,A00508,540d,名
00509,A00509,5408,合
00510,A00510,5403,吃
00511,A00511,540e,后
00512,A00512,5406,吆
00513,A00513,5412,吒
00514,A00514,541d,吝
00515,A00515,542d,吭
00516,A00516,541e,吞
00517,A00517,543e,吾
00518,A00518,5426,否
00519,A00519,544e,呎
00520,A00520,5427,吧
00521,A00521,5446,呆
00522,A00522,5443,呃
00523,A00523,5433,吳
00524,A00524,5448,呈
00525,A00525,5442,呂
00526,A00526,541b,君
00527,A00527,5429,吩
00528,A00528,544a,告
00529,A00529,5439,吹
00530,A00530,543b,吻
00531,A00531,5438,吸
00532,A00532,542e,吮
00533,A00533,5435,吵
00534,A00534,5436,吶
00535,A00535,5420,吠
00536,A00536,543c,吼
00537,A00537,5440,呀
00538,A00538,5431,吱
00539,A00539,542b,含
00540,A00540,541f,吟
00541,A00541,5473,味
00542,A00542,5475,呵
00543,A00543,5496,咖
00544,A00544,5478,呸
00545,A00545,5495,咕
00546,A00546,5480,咀
00547,A00547,547b,呻
00548,A00548,5477,呷
00549,A00549,5484,咄
00550,A00550,5492,咒
00551,A00551,5486,咆
00552,A00552,547c,呼
00553,A00553,5490,咐
00554,A00554,5471,呱
00555,A00555,5476,呶
00556,A00556,548c,和
00557,A00557,549a,咚
00558,A00558,5462,呢
00559,A00559,5468,周
00560,A00560,548b,咋
00561,A00561,547d,命
00562,A00562,548e,咎
00563,A00563,54ac,咬
00564,A00564,54c0,哀
00565,A00565,54a8,咨
00566,A00566,54ce,哎
00567,A00567,54c9,哉
00568,A00568,54b8,咸
00569,A00569,54a6,咦
00570,A00570,54b3,咳
00571,A00571,54c7,哇
00572,A00572,54c2,哂
00573,A00573,54bd,咽
00574,A00574,54aa,咪
00575,A00575,54c1,品
00576,A00576,54c4,哄
00577,A00577,54c8,哈
00578,A00578,54af,咯
00579,A00579,54ab,咫
00580,A00580,54b1,咱
00581,A00581,54bb,咻
00582,A00582,54e8,哨
00583,A00583,5510,唐
00584,A00584,5501,唁
00585,A00585,5537,唷
00586,A00586,54fc,哼
00587,A00587,54e5,哥
00588,A00588,54f2,哲
00589,A00589,5506,唆
00590,A00590,54fa,哺
00591,A00591,5514,唔
00592,A00592,54e9,哩
00593,A00593,54ed,哭
00594,A00594,54e1,員
00595,A00595,5509,唉
00596,A00596,54ee,哮
00597,A00597,54ea,哪
00598,A00598,54e6,哦
00599,A00599,5527,唧
00600,A00600,5546,商
00601,A00601,556a,啪
00602,A00602,5566,啦
00603,A00603,5544,啄
00604,A00604,555e,啞
00605,A00605,5561,啡
00606,A00606,5543,啃
00607,A00607,554a,啊
00608,A00608,5531,唱
00609,A00609,5556,啖
00610,A00610,554f,問
00611,A00611,5555,啕
00612,A00612,552f,唯
00613,A00613,5564,啤
00614,A00614,5538,唸
00615,A00615,552e,售
00616,A00616,555c,啜
00617,A00617,552c,唬
00618,A00618,5563,啣
00619,A00619,5533,唳
00620,A00620,557b,啻
00621,A00621,5580,喀
00622,A00622,55a7,喧
00623,A00623,557c,啼
00624,A00624,558a,喊
00625,A00625,559d,喝
00626,A00626,5598,喘
00627,A00627,5582,喂
00628,A00628,559c,喜
00629,A00629,55aa,喪
00630,A00630,5594,喔
00631,A00631,5587,喇
00632,A00632,558b,喋
00633,A00633,5583,喃
00634,A00634,55b3,喳
00635,A00635,55ae,單
00636,A00636,559f,喟
00637,A00637,553e,唾
00638,A00638,55b2,喲
00639,A00639,559a,喚
00640,A00640,55bb,喻
00641,A00641,55ac,喬
00642,A00642,55b1,喱
00643,A00643,557e,啾
00644,A00644,5589,喉
00645,A00645,55df,嗟
00646,A00646,55e8,嗨
00647,A00647,55d3,嗓
00648,A00648,55e6,嗦
00649,A00649,55ce,嗎
00650,A00650,55dc,嗜
00651,A00651,55c7,嗇
00652,A00652,55d1,嗑
00653,A00653,55e3,嗣
00654,A00654,55e4,嗤
00655,A00655,55ef,嗯
00656,A00656,55da,嗚
00657,A00657,55e1,嗡
00658,A00658,55c5,嗅
00659,A00659,55c6,嗆
00660,A00660,55e5,嗥
00661,A00661,55fe,嗾
00662,A00662,5600,嘀
00663,A00663,561b,嘛
00664,A00664,5617,嘗
00665,A00665,55fd,嗽
00666,A00666,5614,嘔
00667,A00667,5606,嘆
00668,A00668,5609,嘉
00669,A00669,560d,嘍
00670,A00670,560e,嘎
00671,A00671,55f7,嗷
00672,A00672,5616,嘖
00673,A00673,561f,嘟
00674,A00674,5608,嘈
00675,A00675,562e,嘮
00676,A00676,563b,嘻
00677,A00677,5639,嘹
00678,A00678,5632,嘲
00679,A00679,563f,嘿
00680,A00680,5629,嘩
00681,A00681,5653,噓
00682,A00682,564e,噎
00683,A00683,5657,噗
00684,A00684,5674,噴
00685,A00685,5636,嘶
00686,A00686,562f,嘯
00687,A00687,5630,嘰
00688,A00688,5659,噙
00689,A00689,566b,噫
00690,A00690,5679,噹
00691,A00691,5669,噩
00692,A00692,5664,噤
00693,A00693,5678,噸
00694,A00694,5634,嘴
00695,A00695,566a,噪
00696,A00696,5668,器
00697,A00697,5665,噥
00698,A00698,5671,噱
00699,A00699,566f,噯
00700,A00700,566c,噬
00701,A00701,5662,噢
00702,A00702,568e,嚎
00703,A00703,5680,嚀
00704,A00704,5690,嚐
00705,A00705,5685,嚅
00706,A00706,5687,嚇
00707,A00707,568f,嚏
00708,A00708,5695,嚕
00709,A00709,56ae,嚮
00710,A00710,56a5,嚥
00711,A00711,56a8,嚨
00712,A00712,56b7,嚷
00713,A00713,56b6,嚶
00714,A00714,56b4,嚴
00715,A00715,56bc,嚼
00716,A00716,56c1,囁
00717,A00717,56c0,囀
00718,A00718,56c2,囂
00719,A00719,56c8,囈
00720,A00720,56ca,囊
00721,A00721,56c9,囉
00722,A00722,56cc,囌
00723,A00723,56d1,囑
00724,A00724,56db,四
00725,A00725,56da,囚
00726,A00726,56e0,因
00727,A00727,56de,回
00728,A00728,56ea,囪
00729,A00729,56f0,困
00730,A00730,56e4,囤
00731,A00731,56fa,固
00732,A00732,5703,圃
00733,A00733,5708,圈
00734,A00734,570b,國
00735,A00735,570d,圍
00736,A00736,5712,園
00737,A00737,5713,圓
00738,A00738,5718,團
00739,A00739,5716,圖
00740,A00740,571f,土
00741,A00741,5733,圳
00742,A00742,5730,地
00743,A00743,5728,在
00744,A00744,572d,圭
00745,A00745,572c,圬
00746,A00746,572f,圯
00747,A00747,574a,坊
00748,A00748,5751,坑
00749,A00749,5740,址
00750,A00750,574d,坍
00751,A00751,5747,均
00752,A00752,574e,坎
00753,A00753,573e,圾
00754,A00754,5750,坐
00755,A00755,574f,坏
00756,A00756,5783,垃
00757,A00757,5777,坷
00758,A00758,576a,坪
00759,A00759,5769,坩
00760,A00760,5761,坡
00761,A00761,5766,坦
00762,A00762,5764,坤
00763,A00763,577c,坼
00764,A00764,5782,垂
00765,A00765,578b,型
00766,A00766,57a0,垠
00767,A00767,57a3,垣
00768,A00768,57a2,垢
00769,A00769,57ce,城
00770,A00770,57ae,垮
00771,A00771,57c2,埂
00772,A00772,57d4,埔
00773,A00773,57cb,埋
00774,A00774,57c3,埃
00775,A00775,57df,域
00776,A00776,5805,堅
00777,A00777,580a,堊
00778,A00778,5806,堆
00779,A00779,57e0,埠
00780,A00780,57e4,埤
00781,A00781,57fa,基
00782,A00782,5802,堂
00783,A00783,5835,堵
00784,A00784,57f7,執
00785,A00785,57f9,培
00786,A00786,582f,堯
00787,A00787,582a,堪
00788,A00788,5834,場
00789,A00789,5824,堤
00790,A00790,5830,堰
00791,A00791,5831,報
00792,A00792,5821,堡
00793,A00793,585e,塞
00794,A00794,5851,塑
00795,A00795,5858,塘
00796,A00796,5857,塗
00797,A00797,585a,塚
00798,A00798,5854,塔
00799,A00799,586b,填
00800,A00800,584c,塌
00801,A00801,586d,塭
00802,A00802,584a,塊
00803,A00803,5862,塢
00804,A00804,5875,塵
00805,A00805,587e,塾
00806,A00806,5883,境
00807,A00807,5893,墓
00808,A00808,588a,墊
00809,A00809,5879,塹
00810,A00810,5885,墅
00811,A00811,5880,墀
00812,A00812,589f,墟
00813,A00813,589e,增
00814,A00814,58b3,墳
00815,A00815,589c,墜
00816,A00816,58ae,墮
00817,A00817,58c1,壁
00818,A00818,58be,墾
00819,A00819,58c7,壇
00820,A00820,58c5,壅
00821,A00821,58d5,壕
00822,A00822,58d3,壓
00823,A00823,58d1,壑
00824,A00824,58d9,壙
00825,A00825,58d8,壘
00826,A00826,58de,壞
00827,A00827,58df,壟
00828,A00828,58e2,壢
00829,A00829,58e4,壤
00830,A00830,58e9,壩
00831,A00831,58eb,士
00832,A00832,58ec,壬
00833,A00833,58ef,壯
00834,A00834,58f9,壹
00835,A00835,58fa,壺
00836,A00836,58fd,壽
00837,A00837,590f,夏
00838,A00838,5914,夔
00839,A00839,5915,夕
00840,A00840,5916,外
00841,A00841,5919,夙
00842,A00842,591a,多
00843,A00843,591c,夜
00844,A00844,5920,夠
00845,A00845,5925,夥
00846,A00846,5922,夢
00847,A00847,5924,夤
00848,A00848,5927,大
00849,A00849,5929,天
00850,A00850,592b,夫
00851,A00851,592a,太
00852,A00852,592d,夭
00853,A00853,592e,央
00854,A00854,5931,失
00855,A00855,5937,夷
00856,A00856,5938,夸
00857,A00857,593e,夾
00858,A00858,5949,奉
00859,A00859,5947,奇
00860,A00860,5948,奈
00861,A00861,5944,奄
00862,A00862,5954,奔
00863,A00863,5955,奕
00864,A00864,5951,契
00865,A00865,594f,奏
00866,A00866,594e,奎
00867,A00867,5950,奐
00868,A00868,5957,套
00869,A00869,5958,奘
00870,A00870,595a,奚
00871,A00871,5962,奢
00872,A00872,5960,奠
00873,A00873,5967,奧
00874,A00874,596a,奪
00875,A00875,5969,奩
00876,A00876,596e,奮
00877,A00877,5973,女
00878,A00878,5974,奴
00879,A00879,5976,奶
00880,A00880,5984,妄
00881,A00881,5978,奸
00882,A00882,5983,妃
00883,A00883,597d,好
00884,A00884,5979,她
00885,A00885,5982,如
00886,A00886,5981,妁
00887,A00887,599d,妝
00888,A00888,5992,妒
00889,A00889,59a8,妨
00890,A00890,599e,妞
00891,A00891,59a3,妣
00892,A00892,5999,妙
00893,A00893,5996,妖
00894,A00894,598d,妍
00895,A00895,59a4,妤
00896,A00896,5993,妓
00897,A00897,598a,妊
00898,A00898,59a5,妥
00899,A00899,59be,妾
00900,A00900,59bb,妻
00901,A00901,59d4,委
00902,A00902,59b9,妹
00903,A00903,59ae,妮
00904,A00904,59d1,姑
00905,A00905,59c6,姆
00906,A00906,59d0,姐
00907,A00907,59cd,姍
00908,A00908,59cb,始
00909,A00909,59d3,姓
00910,A00910,59ca,姊
00911,A00911,59af,妯
00912,A00912,59b3,妳
00913,A00913,59d2,姒
00914,A00914,59dc,姜
00915,A00915,59d8,姘
00916,A00916,59ff,姿
00917,A00917,59e3,姣
00918,A00918,59e8,姨
00919,A00919,5a03,娃
00920,A00920,59e5,姥
00921,A00921,59ea,姪
00922,A00922,59da,姚
00923,A00923,59e6,姦
00924,A00924,5a01,威
00925,A00925,59fb,姻
00926,A00926,5a11,娑
00927,A00927,5a18,娘
00928,A00928,5a1c,娜
00929,A00929,5a1f,娟
00930,A00930,5a1b,娛
00931,A00931,5a13,娓
00932,A00932,59ec,姬
00933,A00933,5a20,娠
00934,A00934,5a23,娣
00935,A00935,5a29,娩
00936,A00936,5a25,娥
00937,A00937,5a0c,娌
00938,A00938,5a36,娶
00939,A00939,5a41,婁
00940,A00940,5a49,婉
00941,A00941,5a66,婦
00942,A00942,5a6a,婪
00943,A00943,5a40,婀
00944,A00944,5a3c,娼
00945,A00945,5a62,婢
00946,A00946,5a5a,婚
00947,A00947,5a46,婆
00948,A00948,5a4a,婊
00949,A00949,5a77,婷
00950,A00950,5a9a,媚
00951,A00951,5a7f,婿
00952,A00952,5a92,媒
00953,A00953,5a9b,媛
00954,A00954,5ac1,嫁
00955,A00955,5ac9,嫉
00956,A00956,5acc,嫌
00957,A00957,5abe,媾
00958,A00958,5abd,媽
00959,A00959,5abc,媼
00960,A00960,5ab3,媳
00961,A00961,5ac2,嫂
00962,A00962,5ab2,媲
00963,A00963,5ae1,嫡
00964,A00964,5ae6,嫦
00965,A00965,5ae9,嫩
00966,A00966,5ad7,嫗
00967,A00967,5ad6,嫖
00968,A00968,5ad8,嫘
00969,A00969,5ae3,嫣
00970,A00970,5b09,嬉
00971,A00971,5afb,嫻
00972,A00972,5b0b,嬋
00973,A00973,5af5,嫵
00974,A00974,5b0c,嬌
00975,A00975,5b1d,嬝
00976,A00976,5b34,嬴
00977,A00977,5b30,嬰
00978,A00978,5b2a,嬪
00979,A00979,5b24,嬤
00980,A00980,5b38,嬸
00981,A00981,5b40,孀
00982,A00982,5b50,子
00983,A00983,5b51,孑
00984,A00984,5b53,孓
00985,A00985,5b54,孔
00986,A00986,5b55,孕
00987,A00987,5b57,字
00988,A00988,5b58,存
00989,A00989,5b5d,孝
00990,A00990,5b5c,孜
00991,A00991,5b5a,孚
00992,A00992,5b5f,孟
00993,A00993,5b64,孤
00994,A00994,5b63,季
00995,A00995,5b69,孩
00996,A00996,5b6b,孫
00997,A00997,5b70,孰
00998,A00998,5b73,孳
00999,A00999,5b71,孱
01000,A01000,5b75,孵
01001,A01001,5b78,學
01002,A01002,5b7a,孺
01003,A01003,5b7d,孽
01004,A01004,5b7f,孿
01005,A01005,5b83,它
01006,A01006,5b87,宇
01007,A01007,5b88,守
01008,A01008,5b85,宅
01009,A01009,5b89,安
01010,A01010,5b8c,完
01011,A01011,5b8b,宋
01012,A01012,5b8f,宏
01013,A01013,5b97,宗
01014,A01014,5b9a,定
01015,A01015,5b98,官
01016,A01016,5b9c,宜
01017,A01017,5b99,宙
01018,A01018,5b9b,宛
01019,A01019,5ba3,宣
01020,A01020,5ba6,宦
01021,A01021,5ba4,室
01022,A01022,5ba2,客
01023,A01023,5ba5,宥
01024,A01024,5bb0,宰
01025,A01025,5bb3,害
01026,A01026,5bb6,家
01027,A01027,5bb4,宴
01028,A01028,5bae,宮
01029,A01029,5bb5,宵
01030,A01030,5bb9,容
01031,A01031,5bb8,宸
01032,A01032,5bc7,寇
01033,A01033,5bc5,寅
01034,A01034,5bc4,寄
01035,A01035,5bc2,寂
