U+7684	的	de,dī,dí,dì
U+8BB2	讲	jiǎng
U+638C	掌	zhǎng
U+8D75	赵	zhào
U+5BC6	密	mì
U+4E5D	九	jiǔ
U+75C5	病	bìng
U+536B	卫	wèi
U+7C73	米	mǐ
U+5A01	威	wēi
U+7EE7	继	jì
U+6E10	渐	jiàn
U+7EDF	统	tǒng
U+8FFD	追	zhuī
U+4E9A	亚	yà
U+7B80	简	jiǎn
U+7EC3	练	liàn
U+57FA	基	jī
U+9009	选	xuǎn
U+63A8	推	tuī
U+6539	改	gǎi
U+9000	退	tuì
U+5473	味	wèi
U+4EFD	份	fèn
U+4E3E	举	jǔ
U+793A	示	shì
U+5FCD	忍	rěn
U+5386	历	lì
U+5668	器	qì
U+6050	恐	kǒng
U+5F15	引	yǐn
U+8BD5	试	shì
U+76AE	皮	pí
U+4E60	习	xí
U+9760	靠	kào
U+5BFC	导	dǎo
U+5B58	存	cún
U+83AB	莫	mò
U+5FD7	志	zhì
U+533A	区	ōu,qū
U+6C49	汉	hàn
U+53F3	右	yòu
U+4E25	严	yán
U+6001	态	tài
U+4E70	买	mǎi
U+5E78	幸	xìng
U+793E	社	shè
U+4F5B	佛	fó,fú
U+8BAE	议	yì
U+6811	树	shù
U+6B62	止	zhǐ
U+5757	块	kuài
U+5B88	守	shǒu
U+6BDB	毛	máo
U+6325	挥	huī
U+80E1	胡	hú
U+6563	散	sǎn,sàn
U+677F	板	bǎn
U+4EC5	仅	jǐn
U+9690	隐	yǐn
U+6012	怒	nù
U+5E8A	床	chuáng
U+82CF	苏	sū
U+6599	料	liào
U+80A1	股	gǔ
U+5C40	局	jú
U+73ED	班	bān
U+56FE	图	tú
U+5C81	岁	suì
U+793C	礼	lǐ
U+72EC	独	dú
U+521D	初	chū
U+798F	福	fú
U+987A	顺	shùn
U+72C2	狂	kuáng
U+9ED8	默	mò
U+5DE8	巨	jù
U+65E2	既	jì
U+677E	松	sōng
U+8BC1	证	zhèng
U+70C8	烈	liè
U+5426	否	fǒu,pǐ
U+6076	恶	ě,è,wù
U+6CBB	治	zhì
U+7F13	缓	huǎn
U+6392	排	pái,pǎi
U+8D39	费	fèi
U+62CD	拍	pāi
U+8033	耳	ěr
U+533B	医	yī
U+5BD2	寒	hán
U+54ED	哭	kū
U+6E29	温	wēn
U+5E9C	府	fǔ
U+62C5	担	dān,dàn
U+79F0	称	chèn,chēng
U+4F59	余	yú
U+949F	钟	zhōng
U+6CEA	泪	lèi
U+70DF	烟	yān
U+4ECD	仍	réng
U+5177	具	jù
U+5FD8	忘	wàng
U+6069	恩	ēn
U+6BD5	毕	bì
U+8B66	警	jǐng
U+84DD	蓝	lán
U+5BAB	宫	gōng
U+5438	吸	xī
U+9646	陆	liù,lù
U+7A76	究	jiū
U+6293	抓	zhuā
U+538B	压	yā,yà
U+6C99	沙	shā,shà
U+6551	救	jiù
U+5446	呆	dāi
U+6CB3	河	hé
U+8FF7	迷	mí
U+67AA	枪	qiāng
U+7EC4	组	zǔ
U+6743	权	quán
U+53F9	叹	tàn
U+5B59	孙	sūn
U+5377	卷	juǎn,juàn
U+67E5	查	chá,zhā
U+6BEB	毫	háo
U+6625	春	chūn
U+5BDF	察	chá
U+5723	圣	shèng
U+8349	草	cǎo
U+8F83	较	jiào
U+80DC	胜	shèng
U+9047	遇	yù
U+5145	充	chōng
U+53F2	史	shǐ
U+5802	堂	táng
U+9632	防	fáng
U+636E	据	jū,jù
U+731B	猛	měng
U+9A91	骑	qí
U+571F	土	tǔ
U+5361	卡	kǎ,qiǎ
U+52A9	助	zhù
U+4EAC	京	jīng
U+94F6	银	yín
U+8D35	贵	guì
U+6C38	永	yǒng
U+8D28	质	zhì
U+5C4B	屋	wū
U+987B	须	xū
U+526F	副	fù
U+6362	换	huàn
U+523A	刺	cī,cì
U+5C5E	属	shǔ
U+95FB	闻	wén
U+5883	境	jìng
U+7981	禁	jīn,jìn
U+9634	阴	yīn
U+5171	共	gòng
U+8D1F	负	fù
U+5F04	弄	lòng,nòng
U+7FFB	翻	fān
U+864E	虎	hǔ
U+5C42	层	céng
U+558A	喊	hǎn
U+9003	逃	táo
U+6653	晓	xiǎo
U+5EA7	座	zuò
U+96C5	雅	yǎ
U+53C2	参	cān,cēn,shēn
U+5C04	射	shè
U+5A5A	婚	hūn
U+9669	险	xiǎn
U+541B	君	jūn
U+5212	划	huá,huà
U+575A	坚	jiān
U+4EF7	价	jià,jie
U+67D4	柔	róu
U+8D85	超	chāo
U+626C	扬	yáng
U+79D1	科	kē
U+6309	按	àn
U+72E0	狠	hěn
U+91CE	野	yě
U+79E6	秦	qín
U+79D8	秘	bì,mì
U+719F	熟	shóu,shú
U+7F6E	置	zhì
U+4ED9	仙	xiān
U+6A21	模	mó,mú
U+4F38	伸	shēn
U+6CE2	波	bō
U+8089	肉	ròu
U+5047	假	jiǎ,jià
U+9F50	齐	qí
U+821E	舞	wǔ
U+8131	脱	tuō
U+5E7F	广	guǎng
U+59D1	姑	gū
U+9EBB	麻	má
U+6295	投	tóu
U+9876	顶	dǐng
U+81F4	致	zhì
U+8D23	责	zé
U+666F	景	jǐng
U+8425	营	yíng
U+7EF4	维	wéi
U+8BBE	设	shè
U+574F	坏	huài
U+5566	啦	lā,la
U+79C0	秀	xiù
U+8D25	败	bài
U+7709	眉	méi
U+5DDE	州	zhōu
U+836F	药	yào
U+627F	承	chéng
U+6848	案	àn
U+72FC	狼	láng
U+4E13	专	zhuān
U+5077	偷	tōu
U+753B	画	huà
U+5434	吴	wú
U+5E97	店	diàn
U+54E6	哦	é,ó,ò
U+5F39	弹	dàn,tán
U+98DF	食	shí
U+6B32	欲	yù
U+62AC	抬	tái
U+6807	标	biāo
U+79CB	秋	qiū
U+5389	厉	lì
U+826F	良	liáng
U+9645	际	jì
U+72B6	状	zhuàng
U+70E6	烦	fán
U+5348	午	wǔ
U+6446	摆	bǎi
U+620F	戏	xì
U+684C	桌	zhuō
U+8239	船	chuán
U+77ED	短	duǎn
U+6751	村	cūn
U+67D0	某	mǒu
U+6478	摸	mō
U+4ED8	付	fù
U+6F14	演	yǎn
U+89C4	规	guī
U+8427	萧	xiāo
U+5C01	封	fēng
U+63E1	握	wò
U+7530	田	tián
U+5510	唐	táng
U+85CF	藏	cáng,zàng
U+9707	震	zhèn
U+6DF7	混	hùn
U+865A	虚	xū
U+900F	透	tòu
U+7EAA	纪	jǐ,jì
U+51CC	凌	líng
U+4F11	休	xiū
U+561B	嘛	ma
U+6885	梅	méi
U+7D2B	紫	zǐ
U+6B4C	歌	gē
U+4E34	临	lín
U+6BD2	毒	dú
U+5B97	宗	zōng
U+8457	著	zhù,zhuó
U+7D22	索	suǒ
U+5370	印	yìn
U+5BFB	寻	xún
U+6E56	湖	hú
U+52B2	劲	jìn,jìng
U+804C	职	zhí
U+6280	技	jì
U+6068	恨	hèn
U+5A46	婆	pó
U+6770	杰	jié
U+7FBD	羽	yǔ
U+54B1	咱	zán
U+7D20	素	sù
U+51E1	凡	fán
U+503C	值	zhí
U+98D8	飘	piāo
U+517B	养	yǎng
U+563F	嘿	hēi
U+666E	普	pǔ
U+5B81	宁	níng,nìng
U+5413	吓	hè,xià
U+517D	兽	shòu
U+590F	夏	xià
U+8BFB	读	dòu,dú
U+8857	街	jiē
U+725B	牛	niú
U+4EFF	仿	fǎng
U+80F8	胸	xiōng
U+6D6A	浪	làng
U+5BCC	富	fù
U+5C1A	尚	shàng
U+5B87	宇	yǔ
U+9AA8	骨	gū,gǔ
U+667A	智	zhì
U+7EB7	纷	fēn
U+5347	升	shēng
U+53D4	叔	shū
U+5584	善	shàn
U+5F31	弱	ruò
U+67B6	架	jià
U+5356	卖	mài
U+888B	袋	dài
U+7F51	网	wǎng
U+6731	朱	zhū
U+9A82	骂	mà
U+96C4	雄	xióng
U+8D5B	赛	sài
U+7565	略	lüè
U+676F	杯	bēi
U+65BD	施	shī
U+5899	墙	qiáng
U+73AF	环	huán
U+7F6A	罪	zuì
U+7259	牙	yá
U+7A97	窗	chuāng
U+67F3	柳	liǔ
U+5385	厅	tīng
U+641E	搞	gǎo
U+7AEF	端	duān
U+6D1E	洞	dòng,tóng
U+9002	适	shì
U+62E5	拥	yōng
U+91CA	释	shì
U+6D0B	洋	yáng
U+80A9	肩	jiān
U+9B42	魂	hún
U+95F9	闹	nào
U+8499	蒙	mēng,méng,měng
U+6D17	洗	xǐ,xiǎn
U+706F	灯	dēng
U+501F	借	jiè
U+4F2F	伯	bǎi,bó
U+514D	免	miǎn
U+83DC	菜	cài
U+9A8C	验	yàn
U+51E4	凤	fèng
U+9C7C	鱼	yú
U+5F90	徐	xú
U+578B	型	xíng
U+5A1C	娜	nà,nuó
U+66B4	暴	bào
U+4EA1	亡	wáng
U+8BA8	讨	tǎo
U+8F88	辈	bèi
U+61C2	懂	dǒng
U+817F	腿	tuǐ
U+706D	灭	miè
U+5999	妙	miào
U+6548	效	xiào
U+5371	危	wēi
U+4F18	优	yōu
U+76D8	盘	pán
U+5957	套	tào
U+4E01	丁	dīng
U+8DA3	趣	qù
U+5996	妖	yāo
U+675F	束	shù
U+6742	杂	zá
U+8BD7	诗	shī
U+8FCE	迎	yíng
U+820D	舍	shě,shè
U+65E7	旧	jiù
U+5F69	彩	cǎi
U+59D4	委	wěi
U+6302	挂	guà
U+7B14	笔	bǐ
U+72D7	狗	gǒu
U+9C9C	鲜	xiān,xiǎn
U+7EB8	纸	zhǐ
U+6297	抗	kàng
U+63A2	探	tàn
U+97E9	韩	hán
U+5C3C	尼	ní
U+63A7	控	kòng
U+60DC	惜	xī
U+73E0	珠	zhū
U+62BD	抽	chōu
U+521B	创	chuāng,chuàng
U+5F52	归	guī
U+633A	挺	tǐng
U+594B	奋	fèn
U+966A	陪	péi
U+786C	硬	yìng
U+907F	避	bì
U+56ED	园	yuán
U+6258	托	tuō
U+8BAD	训	xùn
U+52C7	勇	yǒng
U+804A	聊	liáo
U+5976	奶	nǎi
U+5E84	庄	zhuāng
U+5954	奔	bēn,bèn
U+9547	镇	zhèn
U+62F3	拳	quán
U+91C7	采	cǎi,cài
U+7814	研	yán
U+914D	配	pèi
U+4ECB	介	jiè
U+5C0A	尊	zūn
U+5192	冒	mào
U+8651	虑	lǜ
U+656C	敬	jìng
U+4E39	丹	dān
U+8212	舒	shū
U+86CB	蛋	dàn
U+54FC	哼	hēng,hng
U+5B8B	宋	sòng
U+6D4E	济	jǐ,jì
U+5987	妇	fù
U+7BAD	箭	jiàn
U+62E9	择	zé,zhái
U+72AF	犯	fàn
U+6B23	欣	xīn
U+7532	甲	jiǎ
U+6B27	欧	ōu
U+8BFE	课	kè
U+6251	扑	pū
U+83F2	菲	fēi,fěi
U+71D5	燕	yān,yàn
U+66F2	曲	qū,qǔ
U+8EB2	躲	duǒ
U+7384	玄	xuán
U+5E7B	幻	huàn
U+8336	茶	chá
U+6298	折	shé,zhē,zhé
U+4F0A	伊	yī
U+50BB	傻	shǎ
U+59D3	姓	xìng
U+6E90	源	yuán
U+6D1B	洛	luò
U+904D	遍	biàn
U+81E3	臣	chén
U+5F03	弃	qì
U+72B9	犹	yóu
U+5360	占	zhān,zhàn
U+6F02	漂	piāo,piǎo,piào
U+6311	挑	tiāo,tiǎo
U+83B7	获	huò
U+7EFF	绿	lù,lǜ
U+5CF0	峰	fēng
U+4FCA	俊	jùn
U+75AF	疯	fēng
U+5217	列	liè
U+68EE	森	sēn
U+59BB	妻	qī
U+604B	恋	liàn
U+8BEF	误	wù
U+62DC	拜	bái,bài
U+4F1F	伟	wěi
