U+4E07	万
U+547A	呺
U+547E	呾
U+5465	呥
U+546C	呬
U+5474	呴
U+5466	呦
U+548D	咍
U+54A9	咩
U+54BA	咺
U+54A1	咡
U+54AD	咭
U+54A5	咥
U+54A7	咧
U+54CF	哏
U+54C3	哃
U+830D	茍
U+54B7	咷
U+54AE	咮
U+54D6	哖
U+54B6	咶
U+54C5	哅
U+54C6	哆
U+54BF	咿
U+54A0	咠
U+5470	呰
U+54BC	咼
U+54A2	咢
U+5526	唦
U+5507	唇
U+54E2	哢
U+5517	唗
U+5512	唒
U+54E7	哧
U+54F3	哳
U+54FD	哽
U+54E4	哤
U+551A	唚
U+54FF	哿
U+5504	唄
U+5508	唈
U+54EB	哫
U+550F	唏
U+5511	唑
U+5505	唅
U+5575	啵
U+5576	啶
U+553C	唼
U+554D	啍
U+5550	啐
U+5534	唴
U+552A	唪
U+5551	啑
U+5562	啢
U+5536	唶
U+5535	唵
U+5530	唰
U+5552	啒
U+5545	啅
U+5541	啁
U+5557	啗
U+550C	唌
U+5532	唲
U+5565	啥
U+554E	啎
U+5591	喑
U+55A8	喨
U+55A5	喥
U+55AD	喭
U+5577	啷
U+5645	噅
U+55A2	喢
U+55AB	喫
U+5593	喓
U+5588	喈
U+558F	喏
U+55B5	喵
U+5581	喁
U+5599	喙
U+55A3	喣
U+5592	喒
U+55A4	喤
U+557D	啽
U+558C	喌
U+55A6	喦
U+55C3	嗃
U+55DB	嗛
U+55CC	嗌
U+55D0	嗐
U+55C9	嗉
U+55CB	嗋
U+55CA	嗊
U+55DD	嗝
U+55C0	嗀
U+55D4	嗔
U+55C4	嗄
U+55E9	嗩
U+55BF	喿
U+55D2	嗒
U+558D	喍
U+55CF	嗏
U+55D5	嗕
U+55E2	嗢
U+55D6	嗖
U+55C8	嗈
U+55F2	嗲
U+5627	嘧
U+5615	嘕
U+560C	嘌
U+5612	嘒
U+55FC	嗼
U+560F	嘏
U+561C	嘜
U+5601	嘁
U+5610	嘐
U+5613	嘓
U+55F6	嗶
U+5602	嘂
U+55FA	嗺
U+561D	嘝
U+5604	嘄
U+55FF	嗿
U+5648	噈
U+5642	噂
U+564C	噌
U+5635	嘵
U+5641	噁
U+564A	噊
U+5649	噉
U+5646	噆
U+5658	噘
U+565A	噚
U+5640	噀
U+5633	嘳
U+563D	嘽
U+562C	嘬
U+563E	嘾
U+5638	嘸
U+5670	噰
U+5660	噠
U+5676	噶
U+566E	噮
U+5673	噳
U+5666	噦
U+5663	噣
U+566D	噭
U+5672	噲
U+565E	噞
U+5693	嚓
U+568C	嚌
U+568D	嚍
U+5686	嚆
U+5684	嚄
U+5683	嚃
U+5698	嚘
U+569C	嚜
U+5697	嚗
U+569A	嚚
U+56AB	嚫
U+56AD	嚭
U+56A6	嚦
U+56A7	嚧
U+56AA	嚪
U+56AC	嚬
U+56B2	嚲
U+56B5	嚵
U+56B3	嚳
U+56C3	囃
U+56BD	嚽
U+56BE	嚾
U+56C6	囆
U+56C5	囅
U+56CB	囋
U+56D3	囓
U+56CD	囍
U+56D4	囔
U+56D7	囗
U+56DD	囝
U+56E1	囡
U+56DF	囟
U+56EB	囫
U+56EE	囮
U+56E7	囧
U+56F7	囷
U+56F9	囹
U+56FF	囿
U+5701	圁
U+5704	圄
U+5702	圂
U+570A	圊
U+5709	圉
U+5707	圇
U+570C	圌
U+571C	圜
U+571E	圞
U+5720	圠
U+5729	圩
U+572E	圮
U+5741	坁
U+573B	圻
U+5745	坅
U+574C	坌
U+576F	坯
U+5772	坲
U+576D	坭
U+576B	坫
U+5771	坱
U+5770	坰
U+5776	坶
U+5780	垀
U+5775	坵
U+577B	坻
U+5773	坳
U+5774	坴
U+57B5	垵
U+579E	垞
U+5793	垓
U+579F	垟
U+57A4	垤
U+578C	垌
U+5797	垗
U+579D	垝
U+579B	垛
U+5794	垔
U+5798	垘
U+57CC	埌
U+5832	堲
U+57D5	埕
U+57D2	埒
U+57BA	垺
U+57C6	埆
U+57BD	垽
U+57BC	垼
U+57FB	埻
U+5814	堔
U+57E2	埢
U+57F6	埶
U+57DC	埜
U+57F4	埴
U+5800	堀
U+57ED	埭
U+57FD	埽
U+5808	堈
U+57F8	埸
U+580B	堋
U+57F3	埳
U+57CF	埏
U+5807	堇
U+5829	堩
U+5837	堷
U+5819	堙
U+581E	堞
U+5827	堧
U+581D	堝
U+5823	堣
U+5828	堨
U+57F5	埵
U+5820	堠
U+5848	塈
U+5825	堥
U+5853	塓
U+5868	塨
U+5864	塤
U+5852	塒
U+584F	塏
U+584D	塍
U+5849	塉
U+586F	塯
U+5855	塕
U+584B	塋
U+5889	墉
U+587C	塼
U+5890	墐
U+5898	墘
U+5886	墆
U+5881	墁
U+587F	塿
U+5874	塴
U+588B	墋
U+587A	塺
U+58A9	墩
U+58AB	墫
U+589D	墝
U+58B1	墱
U+58A0	墠
U+58A3	墣
U+58A6	墦
U+58AF	墯
U+58AC	墬
U+58C8	壈
U+58BD	墽
U+58D6	壖
U+58CE	壎
U+58DA	壚
U+58DD	壝
U+58DB	壛
U+58F4	壴
U+58FC	壼
U+58FE	壾
U+58FF	壿
U+5903	夃
U+5906	夆
U+590C	夌
U+590D	复
U+590E	夎
U+5912	夒
U+5917	夗
U+592C	夬
U+592F	夯
U+5945	奅
U+5953	奓
U+594A	奊
U+5961	奡
U+596B	奫
U+596D	奭
U+5970	奰
U+5972	奲
U+5980	妀
U+597C	奼
U+59A6	妦
U+5998	妘
U+59A0	妠
U+5997	妗
U+598E	妎
U+59A2	妢
U+5990	妐
U+59B5	妵
U+59BA	妺
U+59CF	姏
U+59CE	姎
U+59B2	妲
U+59CC	姌
U+59C1	姁
U+59E1	姡
U+59DE	姞
U+59EE	姮
U+5A00	娀
U+59F1	姱
U+59DD	姝
U+59FA	姺
U+59FD	姽
U+59FC	姼
U+59F6	姶
U+59E4	姤
U+5A19	娙
U+5A16	娖
U+5A09	娉
U+5A2D	娭
U+5A60	婠
U+5A58	婘
U+5A55	婕
U+5A67	婧
U+5A5E	婞
U+5A38	娸
U+5A35	娵
U+5A6D	婭
U+5A50	婐
U+5A5F	婟
U+5A65	婥
U+5A6C	婬
U+5A53	婓
U+5A64	婤
U+5A57	婗
U+5AAF	媯
U+5A94	媔
U+5A9F	媟
U+5A7A	婺
U+5AA2	媢
U+5A9E	媞
U+5A78	婸
U+5AA6	媦
U+5AA7	媧
U+5A7C	婼
U+5AA5	媥
U+5AAC	媬
U+5A95	媕
U+5AAE	媮
U+5A37	娷
U+5AC7	嫇
U+5AC4	嫄
U+5ACB	嫋
U+5ABA	媺
U+5AB8	媸
U+5AB1	媱
U+5AB5	媵
U+5AB0	媰
U+5ABF	媿
U+5AC8	嫈
U+5ABB	媻
U+5ADC	嫜
U+5AEE	嫮
U+5AE5	嫥
U+5AD5	嫕
U+5AEA	嫪
U+5ADA	嫚
U+5AED	嫭
U+5AEB	嫫
U+5AF3	嫳
U+5AE2	嫢
U+5AE0	嫠
U+5ADB	嫛
U+5AFF	嫿
U+5B08	嬈
U+5AF4	嫴
U+5AFD	嫽
U+5AF7	嫷
U+5AF6	嫶
U+5B03	嬃
U+5B17	嬗
U+5B19	嬙
U+5B1B	嬛
U+5B21	嬡
U+5B14	嬔
U+5B13	嬓
U+5B10	嬐
U+5B16	嬖
U+5B2D	嬭
U+5B25	嬥
U+5B32	嬲
U+5B3D	嬽
U+5B3E	嬾
U+5B3F	嬿
U+5B43	孃
U+5B45	孅
U+5B48	孈
U+5B4B	孋
U+5B4C	孌
U+5B5B	孛
U+5B62	孢
U+5B65	孥
U+5B6C	孬
U+5C58	屘
U+5B72	孲
U+5B77	孷
U+5B81	宁
U+5B84	宄
U+5B8E	宎
U+5B93	宓
U+5B95	宕
U+5BA8	宨
U+5BA7	宧
U+5BC1	寁
U+5BC0	寀
U+5BEA	寪
U+5BCD	寍
U+5BCB	寋
U+5BD4	寔
U+5BD1	寑
U+5BD6	寖
U+5BD8	寘
U+5BD9	寙
U+5BE0	寠
U+5BF0	寰
U+5BF1	寱
U+5C03	尃
U+5C0C	尌
U+5C10	尐
U+5C12	尒
U+5C1F	尟
U+5140	兀
U+5C28	尨
U+5C2A	尪
U+5C30	尰
U+5C33	尳
U+5C3B	尻
U+5C44	屄
U+5C4C	屌
U+5C56	屖
U+5C54	屔
U+5C59	屙
U+5C5D	屝
U+5C63	屣
U+5C67	屧
U+5C68	屨
U+5C69	屩
U+5C6D	屭
U+5C6E	屮
U+5C74	屴
U+5C7C	屼
U+5C7A	屺
U+5C8D	岍
U+5C8F	岏
U+5C88	岈
U+5C8B	岋
U+5C89	岉
U+5C92	岒
U+5C8A	岊
U+5CAE	岮
U+5CA4	岤
U+5CA0	岠
U+5CB5	岵
U+5CAF	岯
U+5CA8	岨
U+5CAC	岬
U+5C9F	岟
U+5CA3	岣
U+5CAD	岭
U+5CA2	岢
U+5CAA	岪
U+5CA7	岧
U+5C9D	岝
U+5CD0	峐
U+5CD8	峘
U+5CCC	峌
U+5CD2	峒
U+5CD7	峗
U+5CCB	峋
U+5CDB	峛
U+5CDE	峞
U+5CDA	峚
U+5CC9	峉
U+5CC7	峇
U+5CCA	峊
U+5CEC	峬
U+5CF4	峴
U+5CFF	峿
U+5CEE	峮
U+5CF1	峱
U+5CF7	峷
U+5D1E	崞
U+5D0B	崋
U+5D1D	崝
U+5D1A	崚
U+5D20	崠
U+5D0C	崌
U+5D28	崨
U+5D0D	崍
U+5D26	崦
U+5D24	崤
U+5D25	崥
U+5D0F	崏
U+5D30	崰
U+5D12	崒
U+5D27	崧
U+5D17	崗
U+5D23	崣
U+5D1F	崟
U+5D37	崷
U+5D43	嵃
U+5D6B	嵫
U+5D41	嵁
U+5D4B	嵋
U+5D3F	崿
U+5D35	崵
U+5D51	嵑
U+5D4E	嵎
U+5D55	嵕
U+5D33	崳
U+5D3A	崺
U+5D34	崴
U+5D52	嵒
U+5D3D	崽
U+5D31	崱
U+5D59	嵙
U+5D47	嵇
U+5D42	嵂
U+5D6F	嵯
U+5D71	嵱
U+5D63	嵣
U+5D4A	嵊
U+5D65	嵥
U+5D72	嵲
U+5D6C	嵬
U+5D5E	嵞
U+5D82	嶂
U+5D80	嶀
U+5D7D	嵽
U+5D86	嶆
U+5D7A	嵺
U+5D81	嶁
U+5D77	嵷
U+5D8A	嶊
U+5D89	嶉
U+5D88	嶈
U+5D7E	嵾
U+5D99	嶙
U+5D97	嶗
U+5D9F	嶟
U+5D92	嶒
U+5DA2	嶢
U+5D93	嶓
U+5D95	嶕
U+5DA0	嶠
U+5D9C	嶜
U+5DA1	嶡
U+5D9A	嶚
U+5D9E	嶞
U+5D94	嶔
U+5DAC	嶬
U+5DB1	嶱
U+5DA9	嶩
U+5DA7	嶧
U+5DB5	嶵
U+5DB0	嶰
U+5DAE	嶮
U+5DAA	嶪
U+5DA8	嶨
U+5DB2	嶲
U+5DAD	嶭
U+5DB8	嶸
U+5DB7	嶷
U+5DC0	巀
U+5DC3	巃
U+5DC6	巆
U+5DC7	巇
U+5DC9	巉
U+5DCB	巋
U+5DCF	巏
U+5DD5	巕
U+5DD1	巑
U+5DD8	巘
U+5DDF	巟
U+5DF0	巰
U+5DF9	巹
U+5DFF	巿
U+5E0A	帊
U+5E17	帗
U+5E14	帔
U+5E19	帙
U+5E21	帡
U+5E22	帢
U+5E1F	帟
U+5E23	帣
U+5E20	帠
U+5E24	帤
U+5E29	帩
U+5E28	帨
U+5E3E	帾
U+5E34	帴
U+5E44	幄
U+5E43	幃
U+5E4F	幏
U+5E4E	幎
U+5E58	幘
U+5E59	幙
U+5E53	幓
U+5E69	幩
U+5E5D	幝
U+5E61	幡
U+5E60	幠
U+5E67	幧
U+5E68	幨
U+5E66	幦
U+5E6C	幬
U+5E6A	幪
U+5E6D	幭
U+5E70	幰
U+5E75	幵
U+5E80	庀
U+5E82	庂
U+5E8B	庋
U+5E89	庉
U+5E8C	庌
U+5E88	庈
U+5EB0	庰
U+5EA4	庤
U+5EA2	庢
U+5E9B	庛
U+5EA3	庣
U+5EA5	庥
U+5EA8	庨
U+5EAE	庮
U+5EAA	庪
U+5EAC	庬
U+5EB1	庱
U+5EB4	庴
U+5EB9	庹
U+5EB2	庲
U+5EB3	庳
U+5EC4	廄
U+5EC5	廅
U+5ECC	廌
U+5EC6	廆
U+5ECB	廋
U+5EC7	廇
U+5ED8	廘
U+5ED1	廑
U+5ED7	廗
U+5ECE	廎
U+5EDC	廜
U+5ED5	廕
U+5ED9	廙
U+7DF3	緳
U+5EDB	廛
U+5EDE	廞
U+5EE1	廡
U+5EE9	廩
U+5EE7	廧
U+5EE6	廦
U+5EE8	廨
U+5EE5	廥
U+5EEE	廮
U+5EEF	廯
U+5EF1	廱
U+882F	蠯
U+5EFE	廾
U+5F02	异
U+5F05	弅
U+5F07	弇
U+5F0B	弋
U+5F1A	弚
U+5F1D	弝
U+5F28	弨
U+5F22	弢
U+5F23	弣
U+5F24	弤
U+5F2E	弮
U+5F33	弳
U+5F36	弶
U+5F38	弸
U+5F40	彀
U+5F44	彄
U+5F43	彃
U+5F49	彉
U+5F4A	彊
U+5F4B	彋
U+5F4F	彏
U+5F54	彔
U+5F56	彖
U+5F58	彘
U+5F67	彧
U+5F6F	彯
U+5F73	彳
U+5F74	彴
U+5F78	彸
U+5F82	徂
U+5F7E	彾
U+5F89	徉
U+5FA0	徠
U+5F9B	徛
U+5F9C	徜
U+5FA6	徦
U+5FA5	徥
U+5FAF	徯
U+5FAD	徭
U+5FB2	徲
U+5FBC	徼
U+5FBE	徾
U+5FBF	徿
U+5FC0	忀
U+5FC1	忁
U+5FC9	忉
U+5FD4	忔
U+5FD5	忕
U+5FD2	忒
U+5FD1	忑
U+5FD0	忐
U+5FED	忭
U+5FE8	忨
U+5FEE	忮
U+5FF3	忳
U+5FF8	忸
U+5FE1	忡
U+5FE4	忤
U+5FE3	忣
U+5FFA	忺
U+5FEF	忯
U+5FEA	忪
U+5FF7	忷
U+5FFB	忻
U+5FDE	忞
U+5FE5	忥
U+602D	怭
U+6026	怦
U+6019	怙
U+6032	怲
U+600B	怋
U+6034	怴
U+6029	怩
U+602B	怫
U+600A	怊
U+6017	怗
U+6033	怳
U+601B	怛
U+601A	怚
U+601E	怞
U+602C	怬
U+6022	怢
U+600D	怍
U+6010	怐
U+602E	怮
U+6013	怓
U+6037	怷
U+6039	怹
U+6054	恔
U+6072	恲
U+605E	恞
U+6045	恅
U+6053	恓
U+6047	恇
U+6049	恉
U+605B	恛
U+604C	恌
U+6040	恀
U+6042	恂
U+605F	恟
U+605D	恝
U+605A	恚
U+6067	恧
U+6041	恁
U+60A2	悢
U+6088	悈
U+6080	悀
U+6092	悒
U+6081	悁
U+609D	悝
U+6083	悃
U+6095	悕
U+609B	悛
U+6097	悗
U+6087	悇
U+608A	悊
U+6090	悐
U+6086	悆
U+60C7	惇
U+60BE	悾
U+60B0	悰
U+60BA	悺
U+60D3	惓
U+60D4	惔
U+60CF	惏
U+60E4	惤
U+60D9	惙
U+60DD	惝
U+60C8	惈
U+60B1	悱
U+60DB	惛
U+60B7	悷
U+60C9	惉
U+60B9	悹
U+60CC	惌
U+60E2	惢
U+60CE	惎
U+60C4	惄
U+6114	愔
U+60F2	惲
U+610A	愊
U+6116	愖
U+6105	愅
U+60F5	惵
U+6113	愓
U+6112	愒
U+60F8	惸
U+60FC	惼
U+60FE	惾
U+60F7	惷
U+610D	愍
U+6106	愆
U+6149	慉
U+614A	慊
U+612B	愫
U+6145	慅
U+6136	愶
U+6132	愲
U+6137	愷
U+612E	愮
U+6146	慆
U+612F	愯
U+612C	愬
U+6128	愨
U+6141	慁
U+615E	慞
U+6175	慵
U+6171	慱
U+6173	慳
U+6152	慒
U+6153	慓
U+6172	慲
U+616C	慬
U+6180	憀
U+6174	慴
U+6154	慔
U+617A	慺
U+615B	慛
U+6165	慥
U+618B	憋
U+6183	憃
U+6179	慹
U+61B1	憱
U+61B0	憰
U+61A2	憢
U+6189	憉
U+619B	憛
U+6193	憓
U+61AF	憯
U+61AD	憭
U+619F	憟
U+6192	憒
U+61AA	憪
U+61A1	憡
U+618D	憍
U+61AE	憮
U+619D	憝
U+61A8	憨
U+6196	憖
U+61C5	懅
U+61B4	憴
U+61C6	懆
U+61C1	懁
U+61CC	懌
U+61BA	憺
U+61BF	憿
U+61B8	憸
U+61C3	懃
U+61CB	懋
U+61B5	憵
U+61BC	憼
U+61E7	懧
U+61E0	懠
U+61E5	懥
U+61E4	懤
U+61E8	懨
U+61DE	懞
U+61D8	懘
U+61DF	懟
U+61ED	懭
U+61EE	懮
U+61F1	懱
U+61EA	懪
U+61F0	懰
U+61EB	懫
U+61FB	懻
U+61FD	懽
U+6201	戁
U+6203	戃
U+6204	戄
U+6207	戇
U+6209	戉
U+6214	戔
U+6220	戠
U+9168	酨
U+6223	戣
U+6225	戥
U+6229	戩
U+6227	戧
U+622D	戭
U+623A	戺
U+623D	戽
U+6242	扂
U+6243	扃
U+6246	扆
U+624A	扊
U+6251	扑
U+6250	扐
U+625C	扜
U+625E	扞
U+6264	扤
U+6261	扡
U+6266	扦
U+6262	扢
U+6283	抃
U+6286	抆
U+628C	抌
U+628E	抎
U+628F	抏
U+6294	抔
U+6287	抇
U+6271	扱
U+627B	扻
U+627A	扺
U+62AD	抭
U+62B4	抴
U+62D1	拑
U+62BE	抾
U+62AA	抪
U+62B6	抶
U+62CA	拊
U+62AE	抮
U+62CF	拏
U+630D	挍
U+6302	挂
U+630B	挋
U+62F5	拵
U+630E	挎
U+6303	挃
U+62EB	拫
U+62F9	拹
U+630F	挏
U+630C	挌
U+62F8	拸
U+62F6	拶
U+6300	挀
U+62F2	拲
U+6310	挐
U+6356	捖
U+632C	挬
U+6344	捄
U+6345	捅
U+6336	挶
U+6343	捃
U+63E4	揤
U+634D	捍
U+634C	捌
U+6339	挹
U+634B	捋
U+634A	捊
U+633C	挼
U+6329	挩
U+6341	捁
U+6334	挴
U+6358	捘
U+6354	捔
U+6332	挲
U+6365	捥
U+638A	掊
U+6382	掂
U+637D	捽
U+63BD	掽
U+639E	掞
U+63AD	掭
U+639D	掝
U+6397	掗
U+63AB	掫
U+637A	捺
U+638E	掎
U+636F	捯
U+6387	掇
U+6390	掐
U+636E	据
U+63AF	掯
U+6375	捵
U+639C	掜
U+636D	捭
U+63AE	掮
U+63B0	掰
U+637C	捼
U+63A4	掤
U+633B	挻
U+6394	掔
U+63B1	掱
U+63CE	揎
U+63E5	揥
U+63E8	揨
U+63EF	揯
U+63C3	揃
U+649D	撝
U+63F3	揳
U+63CA	揊
U+63E0	揠
U+63F6	揶
U+63D5	揕
U+63F2	揲
U+63F5	揵
U+6461	摡
U+63DF	揟
U+63F9	揹
U+63BE	掾
U+63DD	揝
U+63DC	揜
U+63C4	揄
U+63D8	揘
U+63C5	揅
U+63F1	揱
U+63EB	揫
U+6410	搐
U+6412	搒
U+6409	搉
U+6420	搠
U+6424	搤
U+6433	搳
U+6406	搆
U+6443	摃
U+641F	搟
U+6415	搕
U+6418	搘
U+6439	搹
U+6437	搷
U+6422	搢
U+6423	搣
U+640C	搌
U+6426	搦
U+6430	搰
U+6428	搨
U+6441	摁
U+6435	搵
U+642F	搯
U+640A	搊
U+641A	搚
U+6440	摀
U+6425	搥
U+6427	搧
U+640B	搋
U+6434	搴
U+642B	搫
U+644D	摍
U+645B	摛
U+646D	摭
U+645D	摝
U+6474	摴
U+6476	摶
U+6472	摲
U+6473	摳
U+647D	摽
U+6475	摵
U+6466	摦
U+64A6	撦
U+644E	摎
U+6482	撂
U+645E	摞
U+645C	摜
U+644B	摋
U+647B	摻
U+6453	摓
U+6460	摠
U+6450	摐
U+647F	摿
U+646E	摮
U+6470	摰
U+6499	撙
U+64A2	撢
U+6496	撖
U+64A0	撠
U+6485	撅
U+6497	撗
U+649C	撜
U+648F	撏
U+648B	撋
U+648A	撊
U+648C	撌
U+64A3	撣
U+64B3	撳
U+649F	撟
U+64D7	擗
U+64D6	擖
U+64D0	擐
U+64CF	擏
U+64C9	擉
U+64BE	撾
U+64BD	撽
U+64EF	擯
U+64E9	擩
U+64E3	擣
U+64EB	擫
U+64E2	擢
U+64ED	擭
U+64E4	擤
U+64E8	擨
U+64FF	擿
U+64F7	擷
U+6504	攄
U+64FD	擽
U+64F8	擸
U+6507	攇
U+6510	攐
U+650D	攍
U+6509	攉
U+650C	攌
U+6517	攗
U+6516	攖
U+6515	攕
U+6513	攓
U+651B	攛
U+6521	攡
U+6520	攠
U+6526	攦
U+6522	攢
U+6529	攩
U+652D	攭
U+652E	攮
U+6532	攲
U+6533	攳
U+6537	攷
U+6538	攸
U+653D	攽
U+6541	敁
U+6549	敉
U+654A	敊
U+6546	敆
U+6555	敕
U+6554	敔
U+6553	敓
U+6567	敧
U+656A	敪
U+6564	敤
U+655C	敜
U+656F	敯
U+6573	敳
U+6576	敶
U+657A	敺
U+6579	敹
U+657B	敻
U+657F	敿
U+6581	斁
U+6580	斀
U+6584	斄
U+658C	斌
U+6592	斒
U+6594	斔
U+6595	斕
U+6596	斖
U+659B	斛
U+659D	斝
U+659E	斞
U+65A0	斠
U+65A8	斨
U+65AA	斪
U+65AE	斮
U+65B2	斲
U+65B6	斶
U+65BB	斻
U+65BF	斿
U+65C6	旆
U+65C3	旃
U+65C4	旄
U+65C2	旂
U+65CD	旍
U+65D0	旐
U+65D2	旒
U+65D3	旓
U+65DA	旚
U+65DB	旛
U+65DE	旞
U+65DD	旝
U+65DF	旟
U+65EF	旯
U+65EE	旮
U+65F0	旰
U+65F4	旴
U+65F3	旳
U+6609	昉
U+65FC	旼
U+6604	昄
U+6612	昒
U+6615	昕
U+6608	昈
U+65FB	旻
U+660A	昊
U+6603	昃
U+6607	昇
U+6636	昶
U+6621	昡
U+6632	昲
U+6635	昵
U+661C	昜
U+6626	昦
U+6622	昢
U+6633	昳
U+662B	昫
U+6631	昱
U+663A	昺
U+661D	昝
U+6634	昴
U+6645	晅
U+664A	晊
U+665F	晟
U+6647	晇
U+6641	晁
U+6665	晥
U+6661	晡
U+665B	晛
U+6659	晙
U+665E	晞
U+665C	晜
U+6662	晢
U+667C	晼
U+667E	晾
U+666C	晬
U+667B	晻
U+6680	暀
U+6677	晷
U+6684	暄
U+6686	暆
U+668C	暌
U+6695	暕
U+6690	暐
U+6698	暘
U+668D	暍
U+668B	暋
U+669D	暝
U+66A1	暡
U+66A0	暠
U+66B5	暵
U+66B1	暱
U+66B0	暰
U+66A9	暩
U+66C8	曈
U+66BE	暾
U+66C0	曀
U+66CA	曊
U+66C4	曄
